fibra,fosfolipidos,grasa,humedad,proteina_dumas,tyr,O2_am,T_am,pH_am,ph,TA_porcentaje_,TC_porcentaje_,IC,ROI,Semana,sobrevivencia_limpia,fibra_min_real,fibra_max_real,fosfolipidos_min_real,fosfolipidos_max_real,grasa_min_real,grasa_max_real,humedad_min_real,humedad_max_real,proteina_dumas_min_real,proteina_dumas_max_real,tyr_min_real,tyr_max_real,O2_am_min_real,O2_am_max_real,T_am_min_real,T_am_max_real,pH_am_min_real,pH_am_max_real,ph_min_real,ph_max_real,TA_porcentaje__min_real,TA_porcentaje__max_real,TC_porcentaje__min_real,TC_porcentaje__max_real
0,0,5,9,8,8,3,4,0,5,3,0,0.04513958333333334,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,7.817,8.34,12.296,12.587,40.656,41.508,1.379,1.42,5.78,6.04,27.62,28.6,7.25,7.394,7.272,7.564,1.01,1.08,0.87,0.923
0,0,5,9,8,8,3,4,1,5,3,0,0.04913958333333334,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,7.817,8.34,12.296,12.587,40.656,41.508,1.379,1.42,5.78,6.04,27.62,28.6,7.394,7.538,7.272,7.564,1.01,1.08,0.87,0.923
0,0,5,9,8,8,4,4,7,5,3,0,0.1361138888888889,-1.0,3.0,82.05128205128204,0.926,1.153,0.585,0.751,7.817,8.34,12.296,12.587,40.656,41.508,1.379,1.42,6.04,6.3,27.62,28.6,8.258,8.402,7.272,7.564,1.01,1.08,0.87,0.923
0,0,5,9,8,8,5,4,6,5,3,0,0.1214263888888889,-1.0,3.0,64.1025641025641,0.926,1.153,0.585,0.751,7.817,8.34,12.296,12.587,40.656,41.508,1.379,1.42,6.3,6.56,27.62,28.6,8.114,8.258,7.272,7.564,1.01,1.08,0.87,0.923
0,0,5,9,8,8,5,5,6,4,2,0,0.42125,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,7.817,8.34,12.296,12.587,40.656,41.508,1.379,1.42,6.3,6.56,28.6,29.58,8.114,8.258,6.981,7.272,0.94,1.01,0.87,0.923
0,0,5,9,8,8,5,5,6,4,3,0,0.08764879797024269,-1.0,3.0,86.53846153846155,0.926,1.153,0.585,0.751,7.817,8.34,12.296,12.587,40.656,41.508,1.379,1.42,6.3,6.56,28.6,29.58,8.114,8.258,6.981,7.272,1.01,1.08,0.87,0.923
0,0,5,9,8,8,5,5,6,5,3,0,0.12147614013267,-1.0,3.0,85.8974358974359,0.926,1.153,0.585,0.751,7.817,8.34,12.296,12.587,40.656,41.508,1.379,1.42,6.3,6.56,28.6,29.58,8.114,8.258,7.272,7.564,1.01,1.08,0.87,0.923
0,0,5,9,8,8,6,5,7,4,3,0,0.1027878912363067,-1.0,3.0,91.02564102564102,0.926,1.153,0.585,0.751,7.817,8.34,12.296,12.587,40.656,41.508,1.379,1.42,6.56,6.82,28.6,29.58,8.258,8.402,6.981,7.272,1.01,1.08,0.87,0.923
0,0,6,9,6,8,3,3,0,5,3,0,0.04913958333333334,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,38.953,39.805,1.379,1.42,5.78,6.04,26.64,27.62,7.25,7.394,7.272,7.564,1.01,1.08,0.87,0.923
0,0,6,9,6,8,4,6,9,4,2,0,0.3875000000000001,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,38.953,39.805,1.379,1.42,6.04,6.3,29.58,30.56,8.546,8.69,6.981,7.272,0.94,1.01,0.87,0.923
0,0,6,9,6,8,4,6,9,5,2,0,0.3875000000000001,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,38.953,39.805,1.379,1.42,6.04,6.3,29.58,30.56,8.546,8.69,7.272,7.564,0.94,1.01,0.87,0.923
0,0,6,9,6,8,5,3,3,4,3,0,0.03827916666666667,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,38.953,39.805,1.379,1.42,6.3,6.56,26.64,27.62,7.682,7.826,6.981,7.272,1.01,1.08,0.87,0.923
0,0,6,9,7,8,1,4,0,4,3,0,0.05513958333333333,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,39.805,40.656,1.379,1.42,5.26,5.52,27.62,28.6,7.25,7.394,6.981,7.272,1.01,1.08,0.87,0.923
0,0,6,9,7,8,2,4,0,4,3,0,0.06513958333333333,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,39.805,40.656,1.379,1.42,5.52,5.78,27.62,28.6,7.25,7.394,6.981,7.272,1.01,1.08,0.87,0.923
0,0,6,9,7,8,2,4,0,5,3,0,0.05313958333333333,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,39.805,40.656,1.379,1.42,5.52,5.78,27.62,28.6,7.25,7.394,7.272,7.564,1.01,1.08,0.87,0.923
0,0,6,9,7,8,3,3,1,5,3,0,0.05913958333333334,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,39.805,40.656,1.379,1.42,5.78,6.04,26.64,27.62,7.394,7.538,7.272,7.564,1.01,1.08,0.87,0.923
0,0,6,9,7,8,3,4,0,5,3,0,0.04913958333333334,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,39.805,40.656,1.379,1.42,5.78,6.04,27.62,28.6,7.25,7.394,7.272,7.564,1.01,1.08,0.87,0.923
0,0,6,9,7,8,3,4,1,4,3,0,0.04513958333333334,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,39.805,40.656,1.379,1.42,5.78,6.04,27.62,28.6,7.394,7.538,6.981,7.272,1.01,1.08,0.87,0.923
0,0,6,9,7,8,4,1,1,4,2,0,0.4087500000000001,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,39.805,40.656,1.379,1.42,6.04,6.3,24.68,25.66,7.394,7.538,6.981,7.272,0.94,1.01,0.87,0.923
0,0,6,9,7,8,4,3,4,5,3,0,0.03827916666666667,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,39.805,40.656,1.379,1.42,6.04,6.3,26.64,27.62,7.826,7.97,7.272,7.564,1.01,1.08,0.87,0.923
0,0,6,9,7,8,5,3,3,4,3,0,0.03227916666666667,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,39.805,40.656,1.379,1.42,6.3,6.56,26.64,27.62,7.682,7.826,6.981,7.272,1.01,1.08,0.87,0.923
0,0,6,9,7,8,5,3,3,5,3,0,0.02627916666666667,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,39.805,40.656,1.379,1.42,6.3,6.56,26.64,27.62,7.682,7.826,7.272,7.564,1.01,1.08,0.87,0.923
0,0,6,9,7,8,6,3,3,4,3,0,0.02227916666666666,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,39.805,40.656,1.379,1.42,6.56,6.82,26.64,27.62,7.682,7.826,6.981,7.272,1.01,1.08,0.87,0.923
0,0,6,9,7,8,6,3,4,5,3,0,0.03827916666666667,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,39.805,40.656,1.379,1.42,6.56,6.82,26.64,27.62,7.826,7.97,7.272,7.564,1.01,1.08,0.87,0.923
0,0,6,9,7,8,6,4,3,5,3,0,0.03827916666666667,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,39.805,40.656,1.379,1.42,6.56,6.82,27.62,28.6,7.682,7.826,7.272,7.564,1.01,1.08,0.87,0.923
0,0,6,9,7,8,6,5,7,4,3,0,0.098543506006006,-1.0,3.0,94.87179487179486,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,39.805,40.656,1.379,1.42,6.56,6.82,28.6,29.58,8.258,8.402,6.981,7.272,1.01,1.08,0.87,0.923
0,0,6,9,7,8,6,5,7,5,3,0,0.09444008751902588,-1.0,3.0,93.58974358974359,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,39.805,40.656,1.379,1.42,6.56,6.82,28.6,29.58,8.258,8.402,7.272,7.564,1.01,1.08,0.87,0.923
0,0,6,9,7,8,7,0,2,4,2,0,0.4075,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,39.805,40.656,1.379,1.42,6.82,7.08,23.7,24.68,7.538,7.682,6.981,7.272,0.94,1.01,0.87,0.923
0,0,6,9,7,8,7,0,3,4,2,0,0.3,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,39.805,40.656,1.379,1.42,6.82,7.08,23.7,24.68,7.682,7.826,6.981,7.272,0.94,1.01,0.87,0.923
0,0,6,9,7,8,7,0,3,5,2,0,0.3,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,39.805,40.656,1.379,1.42,6.82,7.08,23.7,24.68,7.682,7.826,7.272,7.564,0.94,1.01,0.87,0.923
0,0,6,9,7,8,8,0,2,4,2,0,0.29,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,39.805,40.656,1.379,1.42,7.08,7.34,23.7,24.68,7.538,7.682,6.981,7.272,0.94,1.01,0.87,0.923
0,0,6,9,7,8,8,0,3,5,2,0,0.265,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,39.805,40.656,1.379,1.42,7.08,7.34,23.7,24.68,7.682,7.826,7.272,7.564,0.94,1.01,0.87,0.923
0,0,6,9,7,8,8,3,9,5,2,0,0.4927884615384616,-1.0,2.0,96.9166666666666,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,39.805,40.656,1.379,1.42,7.08,7.34,26.64,27.62,8.546,8.69,7.272,7.564,0.94,1.01,0.87,0.923
0,0,6,9,8,8,2,4,0,4,2,0,0.4438995726495725,-1.0,2.0,98.58333333333326,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,40.656,41.508,1.379,1.42,5.52,5.78,27.62,28.6,7.25,7.394,6.981,7.272,0.94,1.01,0.87,0.923
0,0,6,9,8,8,2,4,0,5,2,0,0.27625,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,40.656,41.508,1.379,1.42,5.52,5.78,27.62,28.6,7.25,7.394,7.272,7.564,0.94,1.01,0.87,0.923
0,0,6,9,8,8,3,4,0,4,3,0,0.04713958333333334,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,40.656,41.508,1.379,1.42,5.78,6.04,27.62,28.6,7.25,7.394,6.981,7.272,1.01,1.08,0.87,0.923
0,0,6,9,8,8,4,3,2,4,3,0,0.02627916666666667,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,40.656,41.508,1.379,1.42,6.04,6.3,26.64,27.62,7.538,7.682,6.981,7.272,1.01,1.08,0.87,0.923
0,0,6,9,8,8,4,4,7,5,3,0,0.09386025132275133,-1.0,3.0,80.76923076923077,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,40.656,41.508,1.379,1.42,6.04,6.3,27.62,28.6,8.258,8.402,7.272,7.564,1.01,1.08,0.87,0.923
0,0,6,9,8,8,4,6,9,4,2,0,0.3962500000000002,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,40.656,41.508,1.379,1.42,6.04,6.3,29.58,30.56,8.546,8.69,6.981,7.272,0.94,1.01,0.87,0.923
0,0,6,9,8,8,5,3,3,4,3,0,0.03027916666666667,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,40.656,41.508,1.379,1.42,6.3,6.56,26.64,27.62,7.682,7.826,6.981,7.272,1.01,1.08,0.87,0.923
0,0,6,9,8,8,5,3,3,5,3,0,0.01427916666666667,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,40.656,41.508,1.379,1.42,6.3,6.56,26.64,27.62,7.682,7.826,7.272,7.564,1.01,1.08,0.87,0.923
0,0,6,9,8,8,5,3,4,4,3,0,0.04227916666666667,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,40.656,41.508,1.379,1.42,6.3,6.56,26.64,27.62,7.826,7.97,6.981,7.272,1.01,1.08,0.87,0.923
0,0,6,9,8,8,5,3,4,5,3,0,0.05027916666666666,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,40.656,41.508,1.379,1.42,6.3,6.56,26.64,27.62,7.826,7.97,7.272,7.564,1.01,1.08,0.87,0.923
0,0,6,9,8,8,5,4,6,4,3,0,0.106567631826742,-1.0,3.0,75.64102564102564,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,40.656,41.508,1.379,1.42,6.3,6.56,27.62,28.6,8.114,8.258,6.981,7.272,1.01,1.08,0.87,0.923
0,0,6,9,8,8,7,0,3,4,2,0,0.24,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,40.656,41.508,1.379,1.42,6.82,7.08,23.7,24.68,7.682,7.826,6.981,7.272,0.94,1.01,0.87,0.923
0,0,6,9,8,8,8,0,2,4,2,0,0.27249999999999996,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,40.656,41.508,1.379,1.42,7.08,7.34,23.7,24.68,7.538,7.682,6.981,7.272,0.94,1.01,0.87,0.923
0,0,6,9,8,8,8,0,2,5,2,0,0.2549999999999999,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,40.656,41.508,1.379,1.42,7.08,7.34,23.7,24.68,7.538,7.682,7.272,7.564,0.94,1.01,0.87,0.923
0,0,6,9,8,8,8,0,3,4,2,0,0.1224999999999999,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,40.656,41.508,1.379,1.42,7.08,7.34,23.7,24.68,7.682,7.826,6.981,7.272,0.94,1.01,0.87,0.923
0,0,6,9,8,8,8,3,9,5,2,0,0.4927884615384616,-1.0,2.0,96.9166666666666,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,40.656,41.508,1.379,1.42,7.08,7.34,26.64,27.62,8.546,8.69,7.272,7.564,0.94,1.01,0.87,0.923
0,0,6,9,8,8,8,4,9,5,2,0,0.2424999999999999,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,8.34,8.863,12.296,12.587,40.656,41.508,1.379,1.42,7.08,7.34,27.62,28.6,8.546,8.69,7.272,7.564,0.94,1.01,0.87,0.923
0,0,9,0,9,9,0,6,9,0,3,3,0.33950000272478376,-1.0,2.0,98.14545454545463,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,5.0,5.26,29.58,30.56,8.546,8.69,5.815,6.106,1.01,1.08,1.029,1.082
0,0,9,0,9,9,0,8,1,0,0,0,1.1018750000000002,-1.0,2.0,99.06666666666672,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,5.0,5.26,31.54,32.52,7.394,7.538,5.815,6.106,0.8,0.87,0.87,0.923
0,0,9,0,9,9,1,6,9,0,3,3,0.3408095247177851,-1.0,2.0,97.69090909090919,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,5.26,5.52,29.58,30.56,8.546,8.69,5.815,6.106,1.01,1.08,1.029,1.082
0,0,9,0,9,9,1,7,9,0,0,0,1.1684975409025786,-1.0,2.0,98.8333333333334,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,5.26,5.52,30.56,31.54,8.546,8.69,5.815,6.106,0.8,0.87,0.87,0.923
0,0,9,0,9,9,1,8,1,0,0,0,1.09375,-1.0,2.0,99.06666666666672,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,5.26,5.52,31.54,32.52,7.394,7.538,5.815,6.106,0.8,0.87,0.87,0.923
0,0,9,0,9,9,1,9,8,0,0,0,1.0439368455713849,-1.0,2.0,98.83333333333341,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,5.26,5.52,32.52,33.5,8.402,8.546,5.815,6.106,0.8,0.87,0.87,0.923
0,0,9,0,9,9,1,9,9,0,0,0,1.040400599267546,-1.0,2.0,98.8333333333334,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,5.26,5.52,32.52,33.5,8.546,8.69,5.815,6.106,0.8,0.87,0.87,0.923
0,0,9,0,9,9,2,6,8,0,0,0,1.0552915163937564,-1.0,2.0,98.8333333333334,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,5.52,5.78,29.58,30.56,8.402,8.546,5.815,6.106,0.8,0.87,0.87,0.923
0,0,9,0,9,9,2,6,9,0,0,0,1.040400599267546,-1.0,2.0,98.8333333333334,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,5.52,5.78,29.58,30.56,8.546,8.69,5.815,6.106,0.8,0.87,0.87,0.923
0,0,9,0,9,9,2,6,9,0,3,3,0.2917619047619048,-1.0,2.0,98.44848484848494,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,5.52,5.78,29.58,30.56,8.546,8.69,5.815,6.106,1.01,1.08,1.029,1.082
0,0,9,0,9,9,2,7,8,0,0,0,0.957175768917548,-1.0,2.0,99.125,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,5.52,5.78,30.56,31.54,8.402,8.546,5.815,6.106,0.8,0.87,0.87,0.923
0,0,9,0,9,9,2,8,8,0,0,0,1.0954108368540285,-1.0,2.0,98.78666666666673,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,5.52,5.78,31.54,32.52,8.402,8.546,5.815,6.106,0.8,0.87,0.87,0.923
0,0,9,0,9,9,2,8,9,0,0,0,1.089330101703029,-1.0,2.0,98.8333333333334,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,5.52,5.78,31.54,32.52,8.546,8.69,5.815,6.106,0.8,0.87,0.87,0.923
0,0,9,0,9,9,2,9,8,0,0,0,1.004402323161395,-1.0,2.0,98.8333333333334,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,5.52,5.78,32.52,33.5,8.402,8.546,5.815,6.106,0.8,0.87,0.87,0.923
0,0,9,0,9,9,2,9,9,0,0,0,1.1630440787923004,-1.0,2.0,98.87500000000006,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,5.52,5.78,32.52,33.5,8.546,8.69,5.815,6.106,0.8,0.87,0.87,0.923
0,0,9,0,9,9,3,6,3,0,3,0,0.4055902730607255,-1.0,3.0,97.72727272727273,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,5.78,6.04,29.58,30.56,7.682,7.826,5.815,6.106,1.01,1.08,0.87,0.923
0,0,9,0,9,9,3,6,5,0,0,0,0.9262499904632568,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,5.78,6.04,29.58,30.56,7.97,8.114,5.815,6.106,0.8,0.87,0.87,0.923
0,0,9,0,9,9,3,6,8,0,0,0,1.199999990463257,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,5.78,6.04,29.58,30.56,8.402,8.546,5.815,6.106,0.8,0.87,0.87,0.923
0,0,9,0,9,9,3,6,8,0,3,3,0.174,-1.0,1.0,99.30000000000004,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,5.78,6.04,29.58,30.56,8.402,8.546,5.815,6.106,1.01,1.08,1.029,1.082
0,0,9,0,9,9,3,6,9,0,3,3,0.1604285741533552,-1.0,1.0,99.30000000000004,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,5.78,6.04,29.58,30.56,8.546,8.69,5.815,6.106,1.01,1.08,1.029,1.082
0,0,9,0,9,9,3,9,8,0,0,0,1.4224999999999999,-1.0,2.0,98.60000000000008,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,5.78,6.04,32.52,33.5,8.402,8.546,5.815,6.106,0.8,0.87,0.87,0.923
0,0,9,0,9,9,3,9,9,0,0,0,1.3020893874280397,-1.0,2.0,98.70555555555563,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,5.78,6.04,32.52,33.5,8.546,8.69,5.815,6.106,0.8,0.87,0.87,0.923
0,0,9,0,9,9,4,5,7,0,0,0,0.9981250190734866,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,6.04,6.3,28.6,29.58,8.258,8.402,5.815,6.106,0.8,0.87,0.87,0.923
0,0,9,0,9,9,4,6,8,0,0,0,1.0068749904632568,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,6.04,6.3,29.58,30.56,8.402,8.546,5.815,6.106,0.8,0.87,0.87,0.923
0,0,9,0,9,9,4,6,9,0,3,3,0.15314285932268415,-1.0,1.0,99.30000000000004,0.926,1.153,0.585,0.751,9.908,10.431,9.673,9.964,41.508,42.359,1.42,1.462,6.04,6.3,29.58,30.56,8.546,8.69,5.815,6.106,1.01,1.08,1.029,1.082
